# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  7 13:30:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_metratio,st_lum,rastr,ra,decstr,dec
24 Sex c,24 Sex,883.00000000,2.080000,13.900,273.32000,0.290000,,,K0 IV,5098.00,4.90,[Fe/H],1.164,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998
2M0437 b,2MASS J04372171+2651014,,118.000000,13.000,1271.31363,,,1450,M V,3100.00,0.84,[Fe/H],-1.164,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,84.000000,12.300,4131.79000,,,,M5.5/M6,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.000000,11.209,7786.50000,,,1600,M3.5 V,3530.00,0.37,,-1.720,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.000000,16.141,4417.83700,,,,M6,3064.00,0.28,,-2.230,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.000000,12.600,2383.60000,,,,M8.5,2936.00,0.23,,-2.444,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,55.000000,12.900,1589.15000,,,1250,M8,2825.00,0.22,,-2.561,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.00000000,0.920000,13.400,603.87700,0.330000,,,,29564.00,0.20,[Fe/H],1.450,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.000000,12.300,3972.87500,,,,K7 V,4045.00,0.64,,-1.021,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830
30 Ari B b,30 Ari B,335.10001000,0.990000,12.300,4392.41060,0.290000,,,F6 V,6331.00,1.41,[Fe/H],0.381,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103
4 UMa b,4 UMa,270.27000000,0.877000,12.600,2511.48007,0.453000,,,K1 III,4415.00,18.11,[Fe/H],2.062,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504
42 Dra b,42 Dra,479.10000000,1.190000,13.000,1233.13000,0.380000,,,K1.5 III,4200.00,22.03,[Fe/H],2.155,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652
47 UMa b,47 UMa,1078.00000000,2.100000,13.200,804.08000,0.032000,,,G0 V,5872.00,1.21,[M/H],0.198,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa c,47 UMa,2391.00000000,3.600000,14.200,171.62100,0.098000,,,G1 V,5872.00,1.21,[M/H],0.198,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa d,47 UMa,14002.00000000,11.600000,13.500,521.22000,0.160000,,,G0V,5872.00,1.21,[M/H],0.198,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
51 Eri b,51 Eri,11688.00000000,13.200000,13.400,635.66000,0.450000,,700,F0 IV,7295.00,1.49,[M/H],0.850,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245
51 Peg b,51 Peg,4.23078500,0.052700,14.300,146.20180,0.013000,,,G5V,5758.00,1.18,[M/H],0.136,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
55 Cnc b,55 Cnc,14.65160000,0.113400,13.900,263.97850,0.000000,,700,K0 IV-V,5172.00,0.94,[Fe/H],-0.197,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,55 Cnc,44.39890000,0.237300,8.510,54.47380,0.030000,,,G8V,5172.00,0.94,[Fe/H],-0.197,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc d,55 Cnc,5574.20000000,5.957000,13.000,1232.49300,0.130000,,,G8 V,5172.00,0.94,[Fe/H],-0.197,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc e,55 Cnc,0.73654740,0.015440,1.875,7.99000,0.050000,2657.83,1958,G8 V,5172.00,0.94,[Fe/H],-0.197,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc f,55 Cnc,259.88000000,0.770800,7.590,44.81200,0.080000,,,G8V,5172.00,0.94,[Fe/H],-0.197,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
6 Lyn b,6 Lyn,919.86000000,2.028000,13.400,597.83523,0.042000,,,K0 IV,4941.00,4.94,[Fe/H],1.119,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753
61 Vir b,61 Vir,4.21500000,0.050201,2.110,5.10000,0.120000,,,G5 V,5577.00,0.96,[Fe/H],-0.095,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745
61 Vir c,61 Vir,38.02100000,0.217500,4.460,18.20000,0.140000,,,G5 V,5577.00,0.96,[Fe/H],-0.095,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745
61 Vir d,61 Vir,123.01000000,0.476000,5.110,22.90000,0.350000,,,G5 V,5577.00,0.96,[Fe/H],-0.095,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745
7 CMa b,7 CMa,735.10000000,1.758000,13.400,587.98550,0.060000,,,K1 III,4826.00,4.87,[Fe/H],1.063,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808
7 CMa c,7 CMa,996.00000000,2.153000,13.900,276.51210,0.080000,,,K1III(+M),4826.00,4.87,[Fe/H],1.063,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808
70 Vir b,70 Vir,116.68800000,0.481000,12.600,2380.45000,0.398800,,,G5V,5495.00,1.89,[Fe/H],0.451,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085
75 Cet b,75 Cet,696.62000000,1.912000,13.300,787.89662,0.093000,,,G3 III,4809.00,10.38,[Fe/H],1.714,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269
75 Cet c,75 Cet,2051.62000000,3.929000,13.900,289.85951,0.023000,,,G3 III,4809.00,10.38,[Fe/H],1.714,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269
8 UMi b,8 UMi,93.40000000,0.490000,13.600,416.35730,0.060000,,,K0,4847.00,10.30,[Fe/H],1.725,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379
81 Cet b,81 Cet,1005.57000000,2.104000,13.100,1051.05854,0.037000,,,G5 III,4734.00,11.21,[Fe/H],1.760,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607
91 Aqr b,91 Aqr,181.40000000,0.700000,13.100,1017.00000,0.027000,,,K0 III,4665.00,11.00,[Fe/H],1.692,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076
AB Aur b,AB Aur,,93.900000,12.500,2860.45566,0.400000,,,,9770.00,2.96,,1.771,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888
AB Pic b,AB Pic,,260.000000,12.300,4290.50000,,,,K2 V,5285.00,1.00,[Fe/H],-0.226,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184
AF Lep b,AF Lep,8030.00000000,8.400000,13.100,1017.05090,0.240000,,1400,F8 V,6130.00,1.25,[Fe/H],0.290,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752
AU Mic b,AU Mic,8.46299910,0.064500,3.957,20.12000,0.186000,21.20,600,M1,3665.00,0.82,[M/H],-0.990,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500
AU Mic c,AU Mic,18.85899100,0.110100,3.240,9.60000,0.003380,7.30,459,M1,3665.00,0.82,[M/H],-0.990,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500
AU Mic d,AU Mic,12.73596000,,1.020,1.05300,0.003050,,,M1,3678.00,0.74,[Fe/H],-1.038,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500
BD+03 2562 b,BD+03 2562,481.90000000,1.300000,12.700,2034.11200,0.200000,,,,4095.00,32.35,[Fe/H],2.700,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075
BD+14 4559 b,BD+14 4559,268.94000000,0.780000,13.800,330.54320,0.290000,,,K2 V,4864.00,0.86,[Fe/H],-0.320,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834
BD+15 2375 b,BD+15 2375,153.22000000,0.576000,13.800,337.21763,0.001000,,,G5,4649.00,8.95,[Fe/H],1.570,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182
BD+15 2940 b,BD+15 2940,137.48000000,0.539000,13.700,352.78000,0.260000,,,K0,4796.00,14.70,[Fe/H],2.010,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507
BD+20 2457 b,BD+20 2457,379.63000000,1.450000,12.100,6807.63000,0.150000,,,K2 II,4137.00,49.00,[Fe/H],3.170,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626
BD+20 2457 c,BD+20 2457,621.99000000,2.010000,12.400,3963.17000,0.180000,,,K2 II,4137.00,49.00,[Fe/H],3.170,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626
BD+20 274 b,BD+20 274,578.20000000,1.300000,13.000,1334.88600,0.210000,,,K5 III,4296.00,17.30,[Fe/H],1.960,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692
BD+20 594 b,BD+20 594,41.68550000,0.241000,2.578,22.24810,0.000000,,546,G,5766.00,1.08,[Fe/H],-0.056,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205
BD+45 564 b,BD+45 564,307.88000000,0.830000,13.600,432.24663,0.120000,,,K1,5004.00,0.81,[Fe/H],-0.399,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187
BD+48 738 b,BD+48 738,392.60000000,1.000000,13.900,289.22530,0.200000,,,K0 III,4414.00,11.00,[Fe/H],1.690,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395
BD+48 740 b,BD+48 740,733.00000000,1.700000,13.500,540.31100,0.760000,,,K3 III,4534.00,10.33,[Fe/H],1.640,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579
BD+49 828 b,BD+49 828,2590.00000000,4.200000,13.500,508.50000,0.350000,,,K0,4943.00,7.60,[Fe/H],1.470,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481
BD+55 362 b,BD+55 362,265.59000000,0.780000,14.000,228.83645,0.270000,,,K3,5012.00,0.90,[Fe/H],-0.313,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282
BD+60 1417 b,BD+60 1417,,1662.000000,14.684,4767.42610,,,1303,K0,4993.00,0.80,,0.356,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636
BD+63 1405 b,BD+63 1405,1198.48000000,2.060000,12.400,3305.41543,0.880000,,,K0,5000.00,0.80,[Fe/H],-0.413,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064
BD-00 4475 b,BD-00 4475,723.20000000,1.480000,12.000,7961.60160,0.390000,,,G0,5040.00,0.84,[Fe/H],-0.350,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612
BD-06 1339 b,BD-06 1339,3.87280000,0.042800,2.850,8.50000,0.000000,,,K7/M0 V,4324.00,0.69,[Fe/H],-1.022,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378
BD-06 1339 c,BD-06 1339,125.94000000,0.435000,8.380,53.00000,0.310000,,,K7/M0 V,4324.00,0.69,[Fe/H],-1.022,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378
BD-08 2823 b,BD-08 2823,5.60000000,0.060000,3.610,12.71320,0.150000,,,K3 V,4816.00,0.71,[Fe/H],-0.626,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689
BD-08 2823 c,BD-08 2823,237.60000000,0.680000,12.500,104.00000,0.190000,,,K3 V,4746.00,0.72,[Fe/H],-0.626,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689
BD-10 3166 b,BD-10 3166,3.48777000,0.040000,14.100,187.51970,0.020000,,,K0 V,5393.00,0.91,[Fe/H],-0.191,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227
BD-11 4672 b,BD-11 4672,1634.00000000,2.360000,14.100,206.58950,0.050000,,,K7 V,4550.00,0.64,[Fe/H],-0.804,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481
BD-11 4672 c,BD-11 4672,74.20000000,0.300000,4.040,15.37000,0.400000,,,K7V,4550.00,0.64,[Fe/H],-0.804,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481
BD-13 2130 b,BD-13 2130,714.29999000,1.660000,12.500,3108.37740,0.210000,,,G5 IV/V,4545.00,19.17,[Fe/H],2.043,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703
BD-17 63 b,BD-17 63,655.60000000,1.340000,12.800,1620.90000,0.540000,,,K5 V,4714.00,0.69,[Fe/H],-0.678,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254
BD-210397 b,BD-210397,1891.00000000,2.630000,14.000,214.00000,0.100000,0.02,,K7 V,4051.00,0.75,[Fe/H],-0.870,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147
BD-210397 c,BD-210397,6240.00000000,5.900000,12.900,1525.57635,0.430000,0.00,,K7 V,4051.00,0.75,[Fe/H],-0.870,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147
CD Cet b,CD Cet,2.29070000,0.018500,1.820,3.95000,,8.60,464,M5.0 V,3130.00,0.17,[Fe/H],-2.533,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.50000000,2.600000,12.400,3337.10000,,,370,,580.50,,,,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.00000000,200.000000,20.849,2479.06157,,,1800,M9-L1,2320.00,0.24,,-2.850,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500
CHXR 73 b,CHXR 73,,210.000000,12.300,3994.48600,,,,M3.5,3099.00,,,,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725
CI Tau b,CI Tau,8.98910000,,12.400,3686.82800,0.250000,,,K7,3807.00,1.88,,-0.108,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192
COCONUTS-2 b,COCONUTS-2 A,402000000.00000000,7506.000000,12.442,2002.31896,,,434,M3 V,3406.00,0.39,[Fe/H],-1.732,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960
CT Cha b,CT Cha,,440.000000,24.660,5403.00000,,,2600,K5e,4403.00,1.68,[Fe/H],-0.102,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693
CoRoT-1 b,CoRoT-1,1.50895570,0.027520,16.700,327.35000,0.000000,2852.63,1898,G0 V,5950.00,1.11,[M/H],0.298,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394
CoRoT-10 b,CoRoT-10,13.24060000,0.105500,10.870,874.00000,0.530000,,600,K1 V,5075.00,0.79,[Fe/H],-0.726,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143
CoRoT-11 b,CoRoT-11,2.99433000,0.043600,16.030,740.51000,0.000000,,1657,F6 V,6440.00,1.37,[Fe/H],0.378,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586
CoRoT-12 b,CoRoT-12,2.82804200,0.040160,16.140,291.43800,0.070000,661.13,1442,,5675.00,1.12,[Fe/H],0.070,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437
CoRoT-13 b,CoRoT-13,4.03519000,0.051000,9.920,415.70400,0.000000,546.53,1700,G0 V,5945.00,1.01,[Fe/H],0.073,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557
CoRoT-14 b,CoRoT-14,1.51214000,0.027000,12.220,2415.40000,0.000000,,1952,F9 V,6035.00,1.21,[Fe/H],0.119,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385
CoRoT-16 b,CoRoT-16,5.35227000,0.061800,13.110,170.03200,0.330000,,,G5 V,5650.00,1.19,[M/H],-0.435,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026
CoRoT-17 b,CoRoT-17,3.76810000,0.046100,11.430,772.29000,0.000000,,1626,G2 V,5740.00,1.59,[Fe/H],0.134,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880
CoRoT-18 b,CoRoT-18,1.90006930,0.029500,14.680,1102.82000,0.080000,823.70,1550,G9 V,5440.00,1.00,[Fe/H],-0.170,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045
CoRoT-19 b,CoRoT-19,3.89713000,0.051800,14.460,352.78000,0.047000,1103.81,2000,F9 V,6090.00,1.65,[Fe/H],0.544,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293
CoRoT-2 b,CoRoT-2,1.74299350,0.027980,16.432,1102.82000,0.014300,932.91,1521,,5625.00,0.91,[Fe/H],-0.131,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634
CoRoT-20 b,CoRoT-20,9.24285000,0.090000,9.416,1366.66900,0.590000,180.87,1024,G2 V,5880.00,1.02,,0.170,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931
CoRoT-20 c,CoRoT-20,1675.00000000,2.900000,12.200,5403.11000,0.600000,,,G2 V,4947.50,1.37,,0.006,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931
CoRoT-21 b,CoRoT-21,2.72474000,0.041700,14.572,718.29580,0.000000,,,F8 IV,6200.00,1.95,[Fe/H],0.705,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544
CoRoT-22 b,CoRoT-22,9.75598000,0.092000,4.880,12.20000,0.077000,,885,G3 V,5939.00,1.14,[Fe/H],0.014,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669
CoRoT-23 b,CoRoT-23,3.63130000,0.048000,11.770,889.90000,0.160000,,1660,G0 V,5900.00,1.61,[Fe/H],0.087,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516
CoRoT-24 b,CoRoT-24,5.11340000,0.056000,3.700,5.70000,0.000000,,1070,K1 V,4950.00,0.86,[Fe/H],-0.601,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892
CoRoT-24 c,CoRoT-24,11.75900000,0.098000,5.000,28.00000,0.000000,,850,K1 V,4950.00,0.86,[Fe/H],-0.601,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892
CoRoT-25 b,CoRoT-25,4.86069000,0.057800,12.110,85.81000,0.000000,,1330,F9,6040.00,1.19,[Fe/H],0.141,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223
CoRoT-26 b,CoRoT-26,4.20474000,0.052600,14.120,165.26000,0.000000,,1600,G5,5590.00,1.79,[Fe/H],0.451,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828
CoRoT-27 b,CoRoT-27,3.57532000,0.047600,11.287,3302.11000,0.065000,,1500,G2,5900.00,1.08,[M/H],-0.166,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811
CoRoT-28 b,CoRoT-28,5.20851000,0.060300,10.705,153.82972,0.047000,,,G8/9 IV,5150.00,1.78,[Fe/H],0.388,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911
CoRoT-29 b,CoRoT-29,2.85057000,0.038600,10.088,270.15550,0.082000,,,K0 V,5260.00,0.90,[Fe/H],-0.094,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703
CoRoT-3 b,CoRoT-3,4.25680000,0.057830,11.320,6883.91000,0.000000,,1695,F3 V,6740.00,1.56,[Fe/H],0.391,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359
CoRoT-30 b,CoRoT-30,9.06005000,0.084400,11.310,921.70700,0.007000,,,G3 V,5650.00,0.91,[Fe/H],-0.197,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338
CoRoT-31 b,CoRoT-31,4.62941000,0.058600,16.365,266.97720,0.020000,,,G2 IV,5700.00,2.15,[Fe/H],0.398,06h19m16.98s,94.8207350,-04d25m20.27s,-4.4222978
CoRoT-35 b,CoRoT-35,3.22748000,0.042900,18.831,349.61125,0.000000,,1747,F6 V,6390.00,1.65,[Fe/H],0.362,19h17m15.44s,289.3143526,-02d46m28.95s,-2.7747085
CoRoT-36 b,CoRoT-36,5.61653100,0.066000,15.805,216.12332,0.000000,,1567,F3 V,6730.00,1.52,[Fe/H],0.813,18h31m00.24s,277.7510149,+07d11m00.05s,7.1833465
CoRoT-4 b,CoRoT-4,9.20205000,0.090000,13.340,228.83000,0.000000,203.95,1074,,6190.00,1.17,,0.185,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861
CoRoT-5 b,CoRoT-5,4.03789620,0.049470,15.558,148.42000,0.090000,786.29,1438,F9 V,6100.00,1.19,[M/H],0.180,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163
CoRoT-6 b,CoRoT-6,8.88659300,0.085500,13.068,940.74000,0.100000,,1017,F9 V,6090.00,1.03,[Fe/H],0.026,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062
CoRoT-7 b,CoRoT-7,0.85359163,0.017016,1.681,4.07661,0.000000,,1756,G9 V,5275.00,0.83,[Fe/H],-0.289,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076
CoRoT-7 c,CoRoT-7,3.69800000,0.046000,2.830,8.40000,0.000000,,,G9 V,5256.00,0.86,[M/H],-0.289,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076
CoRoT-7 d,CoRoT-7,8.96600000,,4.310,17.14200,,,,G9 V,5250.00,0.84,[Fe/H],-0.292,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076
CoRoT-8 b,CoRoT-8,6.21229000,0.063000,6.390,69.92000,0.000000,,870,K1 V,5080.00,0.77,[M/H],-0.400,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972
CoRoT-9 b,CoRoT-9,95.27265600,0.402100,11.949,266.97720,0.133000,,420,G3 V,5625.00,0.96,[Fe/H],-0.254,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783
CoRoTID 223977153 b,CoRoTID 223977153,6.71837000,0.071000,6.389,47.67450,,132.26,938,G0 VI,5970.00,0.79,[Fe/H],-0.155,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953
DE CVn b,DE CVn,4098.10000000,5.750000,12.400,3823.27330,0.000000,,,,3579.00,0.42,,-1.574,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36000000,0.360000,11.900,9057.77000,0.345000,,,L1.5,,,,,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008
DH Tau b,DH Tau,,330.000000,30.264,3496.00000,,,2200,M0.5,4371.00,0.27,,-0.212,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897
DMPP-1 b,DMPP-1,18.57000000,0.146200,5.290,24.27000,0.083000,,877,F8 V,6196.00,1.26,,0.320,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217
DMPP-1 c,DMPP-1,6.58400000,0.073300,3.060,9.60000,0.057000,,1239,F8 V,6196.00,1.26,,0.320,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217
DMPP-1 d,DMPP-1,2.88200000,0.042200,1.650,3.35000,0.070000,,1632,F8 V,6196.00,1.26,,0.320,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217
DMPP-1 e,DMPP-1,5.51600000,0.065100,1.860,4.13000,0.070000,,1314,F8 V,6196.00,1.26,,0.320,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217
